IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.149.28,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,709 kB/s
47.237.10.1,8880,false,SIN,Asia Pacific,Singapore,233 ms,696 kB/s
47.236.180.51,8880,false,SIN,Asia Pacific,Singapore,269 ms,678 kB/s
47.238.40.58,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,633 kB/s
8.218.143.10,80,false,HKG,Asia Pacific,Hong Kong,66 ms,624 kB/s
47.242.232.14,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,617 kB/s
8.218.207.169,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,604 kB/s
8.218.201.73,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,602 kB/s
47.76.214.139,2095,false,HKG,Asia Pacific,Hong Kong,60 ms,591 kB/s
47.76.29.115,8880,false,HKG,Asia Pacific,Hong Kong,60 ms,578 kB/s
8.217.66.3,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,551 kB/s
8.217.159.210,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,535 kB/s
47.76.29.115,2095,false,HKG,Asia Pacific,Hong Kong,66 ms,527 kB/s
47.242.119.104,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,518 kB/s
47.236.180.51,2095,false,SIN,Asia Pacific,Singapore,233 ms,502 kB/s
8.210.175.109,8880,false,HKG,Asia Pacific,Hong Kong,65 ms,495 kB/s
47.242.59.216,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,491 kB/s
8.210.164.75,2095,false,HKG,Asia Pacific,Hong Kong,75 ms,487 kB/s
47.76.214.139,8080,false,HKG,Asia Pacific,Hong Kong,64 ms,485 kB/s
47.236.180.51,2082,false,SIN,Asia Pacific,Singapore,218 ms,476 kB/s
8.210.207.214,8080,false,HKG,Asia Pacific,Hong Kong,64 ms,476 kB/s
47.242.59.216,2086,false,HKG,Asia Pacific,Hong Kong,64 ms,474 kB/s
8.210.207.214,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,471 kB/s
8.210.156.6,2086,false,HKG,Asia Pacific,Hong Kong,67 ms,465 kB/s
47.242.202.230,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,455 kB/s
8.218.201.73,8080,false,HKG,Asia Pacific,Hong Kong,60 ms,453 kB/s
8.218.52.115,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,450 kB/s
47.76.32.108,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,445 kB/s
47.76.146.1,2082,false,HKG,Asia Pacific,Hong Kong,73 ms,420 kB/s
47.76.33.40,80,false,HKG,Asia Pacific,Hong Kong,72 ms,409 kB/s
8.218.65.171,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,406 kB/s
47.76.178.146,80,false,HKG,Asia Pacific,Hong Kong,62 ms,402 kB/s
8.218.181.189,8080,false,HKG,Asia Pacific,Hong Kong,58 ms,373 kB/s
47.243.169.63,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,370 kB/s
8.218.52.115,2082,false,HKG,Asia Pacific,Hong Kong,67 ms,366 kB/s
47.76.192.24,80,false,HKG,Asia Pacific,Hong Kong,60 ms,365 kB/s
47.76.32.108,2082,false,HKG,Asia Pacific,Hong Kong,61 ms,356 kB/s
47.76.32.108,8880,false,HKG,Asia Pacific,Hong Kong,71 ms,355 kB/s
47.76.94.15,8080,false,HKG,Asia Pacific,Hong Kong,64 ms,345 kB/s
8.210.156.6,2082,false,HKG,Asia Pacific,Hong Kong,67 ms,326 kB/s
8.218.143.10,2095,false,HKG,Asia Pacific,Hong Kong,55 ms,321 kB/s
47.76.178.146,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,312 kB/s
47.76.32.108,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,312 kB/s
47.242.202.230,2086,false,HKG,Asia Pacific,Hong Kong,55 ms,287 kB/s
8.210.207.214,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,285 kB/s
47.76.77.103,80,false,HKG,Asia Pacific,Hong Kong,60 ms,282 kB/s
47.57.245.232,80,false,SJC,North America,San Jose,77 ms,282 kB/s
8.218.143.10,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,273 kB/s
8.217.149.28,80,false,HKG,Asia Pacific,Hong Kong,59 ms,261 kB/s
47.243.169.63,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,256 kB/s
8.217.85.14,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,247 kB/s
8.210.164.75,2086,false,HKG,Asia Pacific,Hong Kong,66 ms,231 kB/s
47.76.146.1,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,218 kB/s
8.217.159.210,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,209 kB/s
8.210.164.75,2082,false,HKG,Asia Pacific,Hong Kong,69 ms,205 kB/s
8.210.207.214,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,201 kB/s
47.76.146.1,8080,false,HKG,Asia Pacific,Hong Kong,65 ms,199 kB/s
47.57.14.118,80,false,SJC,North America,San Jose,68 ms,195 kB/s
47.76.94.15,8880,false,HKG,Asia Pacific,Hong Kong,54 ms,193 kB/s
8.218.204.128,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,191 kB/s
47.242.59.216,2082,false,HKG,Asia Pacific,Hong Kong,70 ms,180 kB/s
8.210.164.75,8080,false,HKG,Asia Pacific,Hong Kong,71 ms,171 kB/s
8.210.207.214,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,170 kB/s
8.218.143.10,8080,false,HKG,Asia Pacific,Hong Kong,56 ms,169 kB/s
47.243.169.63,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,164 kB/s
47.242.232.14,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,157 kB/s
47.76.26.26,2095,false,HKG,Asia Pacific,Hong Kong,68 ms,150 kB/s
47.76.146.1,8880,false,HKG,Asia Pacific,Hong Kong,64 ms,147 kB/s
8.217.239.116,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,143 kB/s
47.242.202.230,2095,false,HKG,Asia Pacific,Hong Kong,63 ms,134 kB/s
