IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.170.232,2086,false,SIN,Asia Pacific,Singapore,230 ms,6200 kB/s
47.237.100.206,2052,false,SIN,Asia Pacific,Singapore,224 ms,6196 kB/s
47.236.254.120,2082,false,SIN,Asia Pacific,Singapore,221 ms,6162 kB/s
47.236.144.156,80,false,SIN,Asia Pacific,Singapore,220 ms,6143 kB/s
47.236.130.95,2095,false,SIN,Asia Pacific,Singapore,259 ms,6142 kB/s
8.219.200.145,80,false,SIN,Asia Pacific,Singapore,220 ms,6113 kB/s
47.236.93.176,2052,false,SIN,Asia Pacific,Singapore,221 ms,6111 kB/s
47.236.150.13,2095,false,SIN,Asia Pacific,Singapore,241 ms,6087 kB/s
8.219.93.5,2095,false,SIN,Asia Pacific,Singapore,226 ms,6085 kB/s
47.236.104.11,80,false,SIN,Asia Pacific,Singapore,245 ms,6083 kB/s
8.219.200.145,2052,false,SIN,Asia Pacific,Singapore,232 ms,6076 kB/s
47.236.80.110,80,false,SIN,Asia Pacific,Singapore,224 ms,6070 kB/s
47.236.144.196,80,false,SIN,Asia Pacific,Singapore,227 ms,6064 kB/s
8.219.93.5,2082,false,SIN,Asia Pacific,Singapore,223 ms,6048 kB/s
47.236.144.196,8080,false,SIN,Asia Pacific,Singapore,224 ms,6041 kB/s
47.237.121.38,8880,false,SIN,Asia Pacific,Singapore,253 ms,6034 kB/s
8.219.0.162,2095,false,SIN,Asia Pacific,Singapore,220 ms,6027 kB/s
8.219.170.232,8880,false,SIN,Asia Pacific,Singapore,228 ms,6014 kB/s
8.219.49.65,2095,false,SIN,Asia Pacific,Singapore,227 ms,5977 kB/s
47.236.118.216,2082,false,SIN,Asia Pacific,Singapore,216 ms,5976 kB/s
47.236.118.216,2086,false,SIN,Asia Pacific,Singapore,221 ms,5966 kB/s
47.236.237.90,2086,false,SIN,Asia Pacific,Singapore,211 ms,5956 kB/s
